wallet_id,wallet_address,wallet_type,primary_chain,country,risk_level,first_seen_date,is_kyc_verified,label
1,0x43c6092990e43222c25a1879d3a4f35777c77a45,contract,arbitrum,DE,low,2023-04-05,1,vip_user
2,0x3ab86e0c912590c74ccbe012376552c7f0a461ae,defi_protocol,optimism,KR,medium,2023-02-20,0,
3,0xc3ff68d37ac104babd05f94d7443650a51943bdc,defi_protocol,arbitrum,SG,low,2023-07-28,1,
4,0xe1f68429947f5a1fb329a346fcf75113c5a18588,contract,arbitrum,JP,low,2023-12-17,1,whale
5,0x6479707fd9cef74318b295adeb13ef3e188c6f87,eoa,solana,FR,low,2023-07-07,1,team_wallet
6,0x7602ab1a6d55e744dbe38a32a1b52f2715d376f4,defi_protocol,polygon,BR,medium,2023-01-12,1,
7,0xc2b521f58f792f2bfa7cb335494861304ff2c755,contract,optimism,AU,medium,2023-03-17,1,
8,0x5a7ca536b69d36f5d22b16395797849e8bab7e0c,contract,binance_smart_chain,IN,medium,2023-02-14,1,
9,0xb6f56ad91aea699e8a6b731d624215f444e51802,eoa,binance_smart_chain,JP,low,2023-09-13,1,
10,0x538a007af78f294e6e7aa19510ea80fe9f6267c5,exchange,solana,FR,medium,2023-03-12,0,
11,0x0d633b10e9d2b762687da7b35fa483becec35cca,defi_protocol,optimism,DE,medium,2023-07-04,1,
12,0x6cbd8324098d57fa37ef4e7fc13730616de5092c,contract,polygon,CA,low,2023-04-18,1,whale
13,0x834ec3a2d2ca3e75bff21af539f5cdbae1ae623d,multisig,ethereum,JP,low,2023-11-03,1,
14,0x00031c76913b4a9822033fd28f6be65114317489,eoa,solana,SG,medium,2023-07-11,0,whale
15,0x646e2ceebf0ae2e6f733971d66cc9a5409a8a983,multisig,arbitrum,UK,low,2023-01-12,0,whale
16,0xe332c50d8cdb129333317f4ed88b406cef3917d3,contract,optimism,KR,low,2023-02-28,1,
17,0xb7fcccfafa92be5f0751f0495215d9f93b7ab0dc,contract,binance_smart_chain,AE,medium,2023-02-15,0,vip_user
18,0xfb4c35b5f9c9c6d9941b4767174650cb5ea2cfb6,multisig,optimism,JP,medium,2023-09-05,1,whale
