scd_id,wallet_id,wallet_address,risk_level,kyc_verified,valid_from,valid_to,is_current
1,152,0xc02c75da45e789e06a2d69bfa0ffab07e2282fcf,low,0,2023-02-09,2024-04-10,0
2,152,0xc02c75da45e789e06a2d69bfa0ffab07e2282fcf,high,1,2024-04-10,9999-12-31,1
3,179,0x909812a2ddccbcdaa22b4f019d41e59f0683d904,low,0,2023-06-07,2024-05-26,0
4,179,0x909812a2ddccbcdaa22b4f019d41e59f0683d904,medium,1,2024-05-26,9999-12-31,1
5,190,0x668702812decc23a1201ca2ef4310cdd30cb5412,low,0,2023-05-20,2024-06-18,0
6,190,0x668702812decc23a1201ca2ef4310cdd30cb5412,high,1,2024-06-18,9999-12-31,1
7,37,0x7f880a32a3a2f38ad3687f5c3d665e4aad3f5e53,low,0,2023-03-14,2024-03-02,0
8,37,0x7f880a32a3a2f38ad3687f5c3d665e4aad3f5e53,high,1,2024-03-02,9999-12-31,1
9,221,0x8ab9397846fc6178fbfd1ed535a55f62bed51957,low,0,2023-03-20,2024-02-23,0
10,221,0x8ab9397846fc6178fbfd1ed535a55f62bed51957,high,1,2024-02-23,9999-12-31,1
11,282,0xb5ec786bb3740ba289f79cb47776452be255bf12,low,0,2023-06-17,2024-03-23,0
12,282,0xb5ec786bb3740ba289f79cb47776452be255bf12,high,1,2024-03-23,9999-12-31,1
13,250,0x0aeb61f46572febc57a625269d0719f6f3d4399d,low,0,2023-03-28,2024-04-26,0
14,250,0x0aeb61f46572febc57a625269d0719f6f3d4399d,high,1,2024-04-26,9999-12-31,1
15,280,0xb55c4ec83524255e8ca9d1c5a5425835ea217f43,low,0,2023-03-15,2024-04-11,0
16,280,0xb55c4ec83524255e8ca9d1c5a5425835ea217f43,high,1,2024-04-11,9999-12-31,1
17,115,0x78a33b938ff013f06c6577f8432691478b584e42,low,0,2023-01-14,2024-02-19,0
18,115,0x78a33b938ff013f06c6577f8432691478b584e42,medium,1,2024-02-19,9999-12-31,1
19,2,0x3ab86e0c912590c74ccbe012376552c7f0a461ae,low,0,2023-06-06,2024-05-23,0
20,2,0x3ab86e0c912590c74ccbe012376552c7f0a461ae,high,1,2024-05-23,9999-12-31,1
21,236,0x7af1d14d3f0908af474605ce97c0f8d54ab9ed15,low,0,2023-05-22,2024-02-11,0
22,236,0x7af1d14d3f0908af474605ce97c0f8d54ab9ed15,medium,1,2024-02-11,9999-12-31,1
23,22,0xe552d4ad847df8a55f7035b0839f6d28f2851045,low,0,2023-01-21,2024-05-21,0
24,22,0xe552d4ad847df8a55f7035b0839f6d28f2851045,high,1,2024-05-21,9999-12-31,1
25,254,0x7cc9bec23913707e1fe9952af055a78496f91536,low,0,2023-02-14,2024-06-27,0
26,254,0x7cc9bec23913707e1fe9952af055a78496f91536,medium,1,2024-06-27,9999-12-31,1
27,245,0x5d3a13da3959cc0eae986ee37df394770d2d5df0,low,0,2023-01-19,2024-06-03,0
28,245,0x5d3a13da3959cc0eae986ee37df394770d2d5df0,medium,1,2024-06-03,9999-12-31,1
29,123,0x6be6b46219c4c81ccb35cd58d14d558160e85f0a,low,0,2023-06-27,2024-02-24,0
30,123,0x6be6b46219c4c81ccb35cd58d14d558160e85f0a,high,1,2024-02-24,9999-12-31,1
31,241,0xfeded6f2061a983ff703b53f7dc14555df888f39,low,0,2023-03-05,2024-04-07,0
32,241,0xfeded6f2061a983ff703b53f7dc14555df888f39,medium,1,2024-04-07,9999-12-31,1
33,6,0x7602ab1a6d55e744dbe38a32a1b52f2715d376f4,low,0,2023-03-21,2024-05-10,0
34,6,0x7602ab1a6d55e744dbe38a32a1b52f2715d376f4,high,1,2024-05-10,9999-12-31,1
35,101,0x214cd28f91b0e1c2c1d03079a9e2cfec52977d35,low,0,2023-01-17,2024-05-14,0
36,101,0x214cd28f91b0e1c2c1d03079a9e2cfec52977d35,medium,1,2024-05-14,9999-12-31,1
37,1,0x43c6092990e43222c25a1879d3a4f35777c77a45,low,0,2023-03-15,2024-05-22,0
38,1,0x43c6092990e43222c25a1879d3a4f35777c77a45,high,1,2024-05-22,9999-12-31,1
39,215,0x2be78e06b1b3978d2d59a2b8448d773d1d6c1e9d,low,0,2023-06-04,2024-06-25,0
40,215,0x2be78e06b1b3978d2d59a2b8448d773d1d6c1e9d,high,1,2024-06-25,9999-12-31,1
41,181,0x86453c8e668b0637e531352dfc14b2a14142ae3a,low,0,2023-03-18,2024-04-12,0
42,181,0x86453c8e668b0637e531352dfc14b2a14142ae3a,medium,1,2024-04-12,9999-12-31,1
43,264,0x25b5a9480dae6bf1436d992a139900d8d48d93f2,low,0,2023-02-04,2024-06-19,0
44,264,0x25b5a9480dae6bf1436d992a139900d8d48d93f2,high,1,2024-06-19,9999-12-31,1
45,273,0x9f0892b533455d3c0925fd2ffc599d3b76410c14,low,0,2023-01-18,2024-04-07,0
46,273,0x9f0892b533455d3c0925fd2ffc599d3b76410c14,medium,1,2024-04-07,9999-12-31,1
47,114,0x2c931ab46ec0871a022e15ea2cd3e658142295b0,low,0,2023-01-12,2024-03-02,0
48,114,0x2c931ab46ec0871a022e15ea2cd3e658142295b0,medium,1,2024-03-02,9999-12-31,1
49,259,0xdb56a30543b50205a24e1f8742baadc331c035a8,low,0,2023-04-01,2024-02-02,0
50,259,0xdb56a30543b50205a24e1f8742baadc331c035a8,high,1,2024-02-02,9999-12-31,1
51,232,0x8f32c47905024e50c1bc166ca9f7d00cd5a75cad,low,0,2023-06-09,2024-05-09,0
52,232,0x8f32c47905024e50c1bc166ca9f7d00cd5a75cad,high,1,2024-05-09,9999-12-31,1
53,47,0xa8a59ba2a1cacbd736cd601900697cb711ee1eca,low,0,2023-01-21,2024-06-04,0
54,47,0xa8a59ba2a1cacbd736cd601900697cb711ee1eca,high,1,2024-06-04,9999-12-31,1
55,87,0x28e0f8daa47919ca6ded02efaf221e757c308769,low,0,2023-05-07,2024-06-22,0
56,87,0x28e0f8daa47919ca6ded02efaf221e757c308769,medium,1,2024-06-22,9999-12-31,1
57,56,0xcce46c40d55b7bdbce0cc452ac0c150f2d447cac,low,0,2023-04-06,2024-06-05,0
58,56,0xcce46c40d55b7bdbce0cc452ac0c150f2d447cac,high,1,2024-06-05,9999-12-31,1
59,248,0x5dc324861b5ccc15ba436ad06039e63c48f8e1e3,low,0,2023-04-15,2024-05-05,0
60,248,0x5dc324861b5ccc15ba436ad06039e63c48f8e1e3,high,1,2024-05-05,9999-12-31,1
61,242,0x822bb2c2d4e46b712546b67935c757c76db8047d,low,0,2023-04-05,2024-01-25,0
62,242,0x822bb2c2d4e46b712546b67935c757c76db8047d,high,1,2024-01-25,9999-12-31,1
63,130,0xd0236ead8466d1081892568b8ab1741f68670646,low,0,2023-06-14,2024-03-22,0
64,130,0xd0236ead8466d1081892568b8ab1741f68670646,medium,1,2024-03-22,9999-12-31,1
65,290,0x6317a815a1a2ec6245bc999c7606020f722fa435,low,0,2023-06-06,2024-04-27,0
66,290,0x6317a815a1a2ec6245bc999c7606020f722fa435,medium,1,2024-04-27,9999-12-31,1
67,184,0x2a407017f23a5ba62d3e28a5ef39fec001d1a48b,low,0,2023-03-02,2024-04-25,0
68,184,0x2a407017f23a5ba62d3e28a5ef39fec001d1a48b,high,1,2024-04-25,9999-12-31,1
69,173,0xeec5abf17b0746989e4d85084910705f03726126,low,0,2023-06-17,2024-06-23,0
70,173,0xeec5abf17b0746989e4d85084910705f03726126,high,1,2024-06-23,9999-12-31,1
71,9,0xb6f56ad91aea699e8a6b731d624215f444e51802,low,0,2023-03-16,2024-01-06,0
72,9,0xb6f56ad91aea699e8a6b731d624215f444e51802,high,1,2024-01-06,9999-12-31,1
73,138,0xdcdd41b6e1052de841742f400cec49cae5573b31,low,0,2023-06-05,2024-02-25,0
74,138,0xdcdd41b6e1052de841742f400cec49cae5573b31,high,1,2024-02-25,9999-12-31,1
75,66,0x3346d16a84ecea8ea7ffa758e6df24b671b8f767,low,0,2023-01-21,2024-05-05,0
76,66,0x3346d16a84ecea8ea7ffa758e6df24b671b8f767,high,1,2024-05-05,9999-12-31,1
77,193,0xdd9ebe315e2b1ec3636b40a2b62502b9e41798e3,low,0,2023-04-10,2024-01-02,0
78,193,0xdd9ebe315e2b1ec3636b40a2b62502b9e41798e3,medium,1,2024-01-02,9999-12-31,1
79,270,0x99bd0a679c9e285eb5fa96b4788868c5ba6ec8fb,low,0,2023-04-03,2024-05-02,0
80,270,0x99bd0a679c9e285eb5fa96b4788868c5ba6ec8fb,high,1,2024-05-02,9999-12-31,1
81,235,0xdcd758dddc7110358b5184b584f5c6afe4de8bf4,low,0,2023-03-14,2024-01-25,0
82,235,0xdcd758dddc7110358b5184b584f5c6afe4de8bf4,medium,1,2024-01-25,9999-12-31,1
83,61,0xd886574f44d3489040eb425c829e1fc227e5f707,low,0,2023-02-13,2024-06-28,0
84,61,0xd886574f44d3489040eb425c829e1fc227e5f707,high,1,2024-06-28,9999-12-31,1
85,39,0x3088b7c8dfb4edbedc04320924ea79a876990959,low,0,2023-02-03,2024-03-22,0
86,39,0x3088b7c8dfb4edbedc04320924ea79a876990959,medium,1,2024-03-22,9999-12-31,1
87,28,0xe659a8fd618f937f15907a5398293b6ac588c9c2,low,0,2023-06-15,2024-05-17,0
88,28,0xe659a8fd618f937f15907a5398293b6ac588c9c2,high,1,2024-05-17,9999-12-31,1
89,204,0x18edbc2d370b4b459bf5a2adfca70ce3b2ef7637,low,0,2023-06-20,2024-01-23,0
90,204,0x18edbc2d370b4b459bf5a2adfca70ce3b2ef7637,medium,1,2024-01-23,9999-12-31,1
91,31,0xb119f1178739a087f3f873ac97c8478c7d0fb815,low,0,2023-04-14,2024-05-17,0
92,31,0xb119f1178739a087f3f873ac97c8478c7d0fb815,medium,1,2024-05-17,9999-12-31,1
93,286,0x1e8592a38971b095479495b4eb0176a85aa1fefc,low,0,2023-06-07,2024-05-16,0
94,286,0x1e8592a38971b095479495b4eb0176a85aa1fefc,high,1,2024-05-16,9999-12-31,1
95,82,0x8fb0ac0d7c6db6c8e06f2e540bc81b356baf8c20,low,0,2023-01-18,2024-06-03,0
96,82,0x8fb0ac0d7c6db6c8e06f2e540bc81b356baf8c20,medium,1,2024-06-03,9999-12-31,1
97,213,0x1cafe20d8f91f9bf070344d93824f4c189833eae,low,0,2023-03-11,2024-04-04,0
98,213,0x1cafe20d8f91f9bf070344d93824f4c189833eae,medium,1,2024-04-04,9999-12-31,1
99,233,0x6f87e78906e70a91425112d003e6aa52a3cfd5a1,low,0,2023-05-10,2024-03-14,0
100,233,0x6f87e78906e70a91425112d003e6aa52a3cfd5a1,medium,1,2024-03-14,9999-12-31,1
101,35,0x2771f1fbe68f263e688f6a6a12c9967abf41e275,low,0,2023-01-12,2024-01-26,0
102,35,0x2771f1fbe68f263e688f6a6a12c9967abf41e275,medium,1,2024-01-26,9999-12-31,1
103,219,0x4d7ce1de510d0e14a81de7e16b506f163c7ef7a3,low,0,2023-06-25,2024-02-26,0
104,219,0x4d7ce1de510d0e14a81de7e16b506f163c7ef7a3,high,1,2024-02-26,9999-12-31,1
105,144,0x2930e81671b4a7f527245f2e59cfa2298e15c0c3,low,0,2023-05-08,2024-01-12,0
106,144,0x2930e81671b4a7f527245f2e59cfa2298e15c0c3,medium,1,2024-01-12,9999-12-31,1
107,121,0x92461bb00b878076a7ae2750da514480c790f84d,low,0,2023-04-25,2024-03-18,0
108,121,0x92461bb00b878076a7ae2750da514480c790f84d,medium,1,2024-03-18,9999-12-31,1
109,217,0xb3c62c4e71522ce6ffc7e19ea1654408c748070d,low,0,2023-01-21,2024-05-09,0
110,217,0xb3c62c4e71522ce6ffc7e19ea1654408c748070d,high,1,2024-05-09,9999-12-31,1
111,132,0xda34830d3dde20dd9b33ef7d27287ce8c8681c78,low,0,2023-03-07,2024-02-11,0
112,132,0xda34830d3dde20dd9b33ef7d27287ce8c8681c78,medium,1,2024-02-11,9999-12-31,1
113,209,0xe41220289bed0dd1ddff80c4920ac2f61bd83ed2,low,0,2023-05-22,2024-06-26,0
114,209,0xe41220289bed0dd1ddff80c4920ac2f61bd83ed2,high,1,2024-06-26,9999-12-31,1
115,97,0xa3d7b2af663a31111c5ffc7e3b0d3790326f2dc6,low,0,2023-03-28,2024-05-20,0
116,97,0xa3d7b2af663a31111c5ffc7e3b0d3790326f2dc6,high,1,2024-05-20,9999-12-31,1
117,159,0xcefcff59f1d1d35f3e2a47242441df3fd8a8bb60,low,0,2023-03-28,2024-05-23,0
