tx_id,tx_hash,date_id,from_wallet_id,to_wallet_id,token_id,product_id,tx_type,amount_token,token_price_usd,amount_usd,gas_fee_usd,chain,status,block_number,created_at
1,0xdd730a158ab89b423964aadfb5d799ce47da9572dc9f83eadfefe0fbc5f0c33b,20240922,273,147,6,2,mint,22522.580677,0.888,20000.05,72.5665,optimism,confirmed,18760853,2024-09-22 19:12:00
2,0xf6822be54ea51c7a22dce4d09f777c3c29f95b62d78b4c718928df460318c315,20241118,11,211,1,,swap,19887.73164,3303.2436,65694022.26,8.7182,optimism,confirmed,20938325,2024-11-18 02:18:00
3,0x1b262c9cff3b66e9048c1bbdc7611e21437de31271c31984eebef18f3f4fc4aa,20240607,272,198,10,,stake,9984.426672,18.5344,185055.36,28.5127,arbitrum,confirmed,19802581,2024-06-07 11:53:00
4,0x8dde60bb691cb5fe6b382f3ecd71332ec12913ad2db4e6ff62f92b0d4120cb6d,20240323,83,289,10,,burn,49675.452638,18.9803,942854.99,60.3256,arbitrum,confirmed,18408964,2024-03-23 13:35:00
5,0xbe21ca7b9eb8cdcb210269198d4b3b210e3d3f51cf3138161c8433b470af7507,20240427,21,171,5,7,mint,2516.510996,164.202,413216.14,37.0391,optimism,confirmed,18771959,2024-04-27 08:57:00
6,0xe6e610c987a9d04eadb0047f8d9d1126d76227e5ef4743b3a85e798404c970d3,20240115,290,297,9,7,transfer,3244.741442,411.0192,1333651.03,74.3319,optimism,confirmed,19690689,2024-01-15 00:04:00
7,0xd1e63ded86c4dfb7afd540a45ef4341b17cddc291749c7691104a6a98644dacb,20240104,90,134,4,,approve,18236.253164,1.0221,18639.27,11.2573,polygon,pending,19744250,2024-01-04 00:57:00
8,0xe18fb548a29dbd60d37562d2d686ef5686c02ec1ad8dc5dcee32e6e9946fa0ef,20241115,121,162,4,1,stake,23743.218682,1.0315,24491.13,53.3786,optimism,confirmed,20601763,2024-11-15 05:04:00
9,0x4d62328de4cfc93cfb7083452d06a49ff338ccf95fe4e13dfc814198b20ecc84,20240209,179,293,4,5,swap,30556.148626,0.9483,28976.4,29.373,optimism,confirmed,18206894,2024-02-09 16:25:00
10,0xe5026f497fe54a51bf263eb9a8c7fa95d598d879a7223c3a6bfad0bc5dcaff16,20241127,121,238,9,10,mint,33011.045649,446.1455,14727729.47,6.4585,optimism,confirmed,19893084,2024-11-27 14:50:00
11,0xa62a7dc205d35561baa53263d04b7c835bd44cb33ae04fe588cb4fcc39be9d22,20241009,296,34,5,10,mint,8748.048488,181.0391,1583738.83,47.515,ethereum,confirmed,18840147,2024-10-09 04:01:00
12,0x763a56a58ef8b83e1578eb0505e8a2d6908503d21e91450a16d5ea62d74c6f1c,20240119,226,121,5,,bridge,40746.527259,179.4688,7312730.35,69.1336,binance_smart_chain,confirmed,19364819,2024-01-19 08:11:00
13,0xa4f219a797be864bbfa2996ef1a66b0ea4f8a62c90823c801f53e0ac6536b5a3,20240805,82,196,2,7,approve,9408.99598,67768.0926,637629710.85,,arbitrum,confirmed,20767915,2024-08-05 15:36:00
14,0x4d18f52e02164051970918795edc80183bb1410e3b90363694030ab2e9a33d4a,20240421,239,66,4,1,transfer,29575.455663,1.079,31911.92,35.2057,optimism,confirmed,18808318,2024-04-21 11:34:00
15,0xaec91adb3d57d0db0a3806f69f4e5fc596ad928833c28ab656d7df2517cf6683,20241103,138,281,2,,swap,46584.797488,65042.3052,3029982615.89,,solana,confirmed,20996076,2024-11-03 05:40:00
16,0x1bb0bffa5602c29146348332ca81b0d2e7c1013b18ff1a8a868f72af4f29e285,20240217,171,52,9,,transfer,20876.170567,426.2149,8897734.95,54.0035,optimism,confirmed,20178250,2024-02-17 09:53:00
17,0xfdfc589fd38cc9e6c0342e572dfbc40bfc832565218cdc54a449b843961454e7,20240503,230,162,5,,unstake,34354.768239,175.745,6037678.74,10.584,arbitrum,confirmed,18129934,2024-05-03 12:01:00
18,0x3df0452e6c1c261e7712e107db116a292bba28f1aebd8c175c30e1b3d1e236c6,20240118,277,198,1,,approve,7983.617558,2948.5906,23540419.69,30.0103,binance_smart_chain,pending,19760400,2024-01-18 19:27:00
19,0xd6bd6838faa04bceb67925eaeabeb0eaf9f20c9657906b1e63c5e0d64f6e225a,20240524,7,10,7,2,transfer,38507.348559,1.2571,48407.59,26.2687,optimism,confirmed,20098338,2024-05-24 06:15:00
20,0x80024f643646a63aa45959b590fae537256d67e343ec789dbebe29357b35b537,20240426,279,137,4,4,unstake,21241.969136,0.9963,21163.37,41.7687,binance_smart_chain,pending,20546799,2024-04-26 08:35:00
21,0x55635f56c5bf27dca25e9e38255a8bdd997b0f9ff78979161a548a3dfe576865,20240901,226,246,6,9,transfer,46834.949168,0.8442,39538.06,9.4115,binance_smart_chain,confirmed,20076657,2024-09-01 23:30:00
22,0x6064975e74fa15a8d95dd3cc5b175efdf365bbeeed5d3518d38f40d35c60a62d,20240117,120,207,5,,mint,6108.204731,168.0893,1026723.86,70.3371,polygon,confirmed,19424582,2024-01-17 18:52:00
23,0x3085442bc4dc29deb96f0d020947b6c9ef50f011f0262cc9b1be71a377eb9e97,20240521,198,194,9,5,transfer,12366.273813,440.2488,5444237.21,62.8929,solana,reverted,19870053,2024-05-21 09:23:00
24,0x4af9d0faf49c1eb4d55908405c25a41254c131221ab5d1bac2fb8b371a53e8bf,20241211,255,205,7,6,transfer,43240.866178,1.1166,48282.75,59.0512,solana,confirmed,20501617,2024-12-11 20:10:00
25,0x062b2b471cb8e11468dd5f372f33cd5d17ffa5f202e5a2ae6215d7bdf402916f,20240710,212,163,6,2,burn,29148.493175,0.8192,23878.45,53.0373,arbitrum,confirmed,18242403,2024-07-10 23:19:00
26,0x6b4b5c0186d9bf98e1e8b1ba655cc8aff3f9ebef00281a957262be3fbae8a015,20240713,204,210,8,,transfer,18669.064644,2.1018,39238.64,39.4077,binance_smart_chain,confirmed,19708656,2024-07-13 14:17:00
27,0xe2c93cea34a26c285396689da8638adcd2838aa710b5167970ab14bbdb301e7d,20240904,65,92,10,5,bridge,32195.463699,18.6111,599192.99,42.8551,binance_smart_chain,confirmed,18051657,2024-09-04 19:12:00
28,0x65b9ca0859cd0abd8c83e0a26cd975c39bddd7e2ccbc821bc097a7f5cb919a83,20241220,4,164,10,4,unstake,34648.966237,18.3161,634633.93,62.3853,arbitrum,confirmed,18384560,2024-12-20 06:53:00
29,0xbcd8453b8aeed7ece82b35457fa25a20c76862bd2bfa74990250f4aa77603a51,20241114,272,38,2,,swap,37538.549321,67343.811,2527988970.69,,arbitrum,confirmed,19421380,2024-11-14 04:38:00
30,0x5d82dff120efa718705202e13fa113371c22f65642e1e9217aef9ae05d63e29c,20241209,280,46,3,8,mint,46255.829412,1.0303,47657.38,32.3404,optimism,confirmed,20567102,2024-12-09 05:50:00
31,0xa6a99a31cc96cece433ecad958a34bf072e535b9d7c4635e371a7f15b3d27c6d,20240920,60,102,9,8,approve,24709.101615,453.0165,11193630.73,46.5787,optimism,confirmed,18214458,2024-09-20 19:33:00
32,0x2bee724418bcf075285c8cfb0bab8d723ddb1e29fa47a788fac76ceaa42fcd8d,20240718,107,188,1,,stake,29182.119946,3066.7699,89494847.07,26.9333,optimism,confirmed,18500600,2024-07-18 05:28:00
33,0x964002efa2c3d2e4c53fa5de3d62e28539f002a36f63a4fd176b7a43e684cd9f,20240401,81,54,2,2,swap,19623.011056,61369.2638,1204249742.05,,optimism,confirmed,18560663,2024-04-01 10:38:00
34,0xd2f3cbe3507ea7a499e523faf83b851df796e061171fc841564164ec8cfff823,20241105,277,151,6,,stake,14312.736165,0.9101,13026.02,22.1664,binance_smart_chain,confirmed,20137829,2024-11-05 04:33:00
35,0xacdeba8e15b8e9802fc46b9d5aaa6023bdcec291bf4df83a71efd05312881f19,20240110,81,230,5,5,mint,23386.753482,187.8842,4394001.47,8.9898,optimism,confirmed,18088735,2024-01-10 00:32:00
36,0x494233c5cfb479b438e05b903aed335512805abb58e7f337c03ce769eaa7bc59,20240325,274,9,7,4,stake,34596.409505,1.2306,42574.34,70.7181,solana,confirmed,18794344,2024-03-25 01:49:00
37,0xc6a598c4c866870bcca185b936e5ae4bc2700ad53b291fb1efebe61c148e503e,20240209,44,157,6,3,mint,31114.91454,0.8692,27045.08,40.791,polygon,confirmed,20471753,2024-02-09 04:04:00
38,0x5ce4e5b3ef55b1790d4d06913e4f383b3e3d10a3174f5391a25003f9d948cf45,20240218,248,218,5,7,bridge,29708.502979,177.4561,5271955.08,71.0283,ethereum,confirmed,19389079,2024-02-18 16:13:00
39,0xf3d597a8befb294b648d3a1a223f9dfa7564a4828e8559d0f67228fc0f0763b2,20241103,201,280,4,9,mint,18326.937055,1.0143,18589.01,4.1051,solana,confirmed,19315602,2024-11-03 20:36:00
40,0x51857dc1e532f8f367126517d71fb465a680f539c0fb677760d6915109a4b06c,20240123,89,16,5,,unstake,41316.04805,183.7461,7591662.7,35.35,arbitrum,confirmed,20794829,2024-01-23 23:26:00
41,0x98c704b239e84993b6c6829751c862ab92832c56ede583e6f0d3859ab7c5bc47,20240614,225,270,6,8,approve,41611.74815,0.7973,33177.05,48.6113,optimism,confirmed,20977794,2024-06-14 04:41:00
42,0xc3dec4c87ddacee496b4fe1d97806c788f47c612c54cefc2fe13afd136fcf119,20240208,292,191,1,,unstake,11284.903105,3235.6216,36513676.24,40.3875,binance_smart_chain,confirmed,19853758,2024-02-08 22:15:00
43,0xdd830f252c737e6060317c7235eb57f21e775d7a04807616a58525a48266f381,20240724,110,160,10,7,burn,23510.86708,19.3912,455903.93,17.9071,polygon,confirmed,18403766,2024-07-24 08:22:00
44,0x95aa1ff6ba0a4a848558d65301ef7d0c0c0e984ae386f3d54e1807c37e1da584,20240602,83,240,7,,bridge,10415.19564,1.2298,12808.61,58.1796,arbitrum,confirmed,18917056,2024-06-02 08:55:00
45,0x158b6adbf4d426dc535626f196469525a41036a3adada5c7e77ebba9dbe54025,20240207,211,19,1,6,stake,21635.822544,3209.4481,69439049.56,56.1512,binance_smart_chain,confirmed,19661629,2024-02-07 20:14:00
46,0x2b4877c9c5ed6a2b4d09e9bb8b12a629fa7fd5bc9ba941e0f0137f652d124e6b,20240123,25,229,8,,burn,49056.331956,2.1237,104180.93,62.779,arbitrum,confirmed,19623060,2024-01-23 04:33:00
47,0xaf29a3146bf44e682fb576a2d59771dbf758cfc59a0ad66cbcf3cec9299f0c61,20241009,203,110,4,8,unstake,42251.337586,1.0384,43873.79,79.8276,binance_smart_chain,confirmed,20486219,2024-10-09 04:03:00
48,0x2fe55f5ca31ab760888cd4853cfa8a47427b50ff3c1287cefb46d7dd792c438e,20241103,257,63,5,4,transfer,47931.583085,178.534,8557417.25,9.9393,arbitrum,confirmed,19309347,2024-11-03 13:42:00
49,0x962ba59830eeb32dac0ab6dd35207024126b9fd29142c3e0e0a6ecc639f2a506,20240404,201,261,4,1,stake,23809.709,0.9929,23640.66,58.8407,solana,confirmed,18899079,2024-04-04 09:04:00
50,0x8df4539b9a5948a5ef12c103bd48f190404a95c2d248127e8ce49d3822000f8b,20240217,134,171,10,7,transfer,47994.022693,18.7931,901956.47,72.155,ethereum,confirmed,19992241,2024-02-17 20:37:00
51,0x6f26500a35689e95bda48c44b936ecb8f8cff867aafbaec88f10543c320f83a6,20240525,241,208,6,7,stake,13031.661174,0.8031,10465.73,52.9358,polygon,confirmed,18262989,2024-05-25 18:50:00
52,0xc9df7012288456075825613fd38918f32b3117056a2d93bbb5218ceace4575dc,20240323,55,228,10,9,swap,33260.255704,19.0459,633471.5,43.8222,arbitrum,confirmed,19009780,2024-03-23 05:28:00
53,0x1333629e2a1a2e3bbdf5c13519b33fc6122f4318231c6bbcd97390155008c18f,20241214,55,136,7,8,mint,37686.544036,1.1969,45107.02,49.8796,arbitrum,failed,19729925,2024-12-14 20:36:00
54,0x4984cee41a61845cfbcef8a8ff71343e8244ef6de8aa2a5ce6e55789509a9d48,20241005,96,253,4,,swap,2760.925193,1.0381,2866.12,63.1515,polygon,confirmed,20656881,2024-10-05 04:31:00
55,0xfc825b3bb2cdf4df00c61811db7e595aeb180682488da42b6d200d508a9be7ff,20240928,288,59,10,1,unstake,19951.022327,19.8599,396225.31,57.5761,solana,confirmed,19137424,2024-09-28 07:22:00
56,0x12a0d5b615712e6dc393b97b87a44547d090348caabb734849e4ad9b894ad5a1,20240817,146,91,10,5,swap,18926.710458,17.9942,340571.01,47.9057,polygon,confirmed,18121062,2024-08-17 08:55:00
