run_id,dag_id,run_date,state,duration_sec,rows_processed,error_msg
RUN0001,dbt_run_models,2024-11-04 04:00:00,success,141.3,18008,
RUN0002,transform_fact_transactions,2024-03-24 11:00:00,success,398.5,10127,
RUN0003,ingest_blockchain_events,2024-05-18 16:00:00,success,645.8,17040,
RUN0004,ingest_api_prices,2024-03-01 21:00:00,success,844.8,33915,
RUN0005,load_warehouse,2024-11-22 03:00:00,success,710.7,10690,
RUN0006,transform_fact_transactions,2024-09-20 04:00:00,success,78.6,45634,
RUN0007,transform_fact_transactions,2024-08-12 12:00:00,success,393.4,15128,
RUN0008,ingest_api_prices,2024-03-14 21:00:00,success,314.9,41227,
RUN0009,ingest_blockchain_events,2024-08-15 12:00:00,success,816.4,30558,
RUN0010,load_warehouse,2024-04-26 13:00:00,success,116.4,43853,
RUN0011,load_warehouse,2024-04-27 13:00:00,success,42.5,24130,
RUN0012,ingest_blockchain_events,2024-08-27 18:00:00,running,,0,
RUN0013,ingest_api_prices,2024-12-04 01:00:00,running,,0,
RUN0014,ingest_api_prices,2024-10-16 21:00:00,success,168.4,6274,
RUN0015,dbt_run_models,2024-05-16 01:00:00,failed,444.6,0,ConnectionError: DB timeout
RUN0016,transform_fact_transactions,2024-04-09 14:00:00,success,603.9,12531,
RUN0017,dbt_run_models,2024-03-17 02:00:00,failed,756.1,0,ConnectionError: DB timeout
RUN0018,transform_fact_transactions,2024-01-22 10:00:00,success,79.5,12912,
RUN0019,transform_fact_transactions,2024-12-05 15:00:00,success,228.5,16715,
RUN0020,load_warehouse,2024-11-22 10:00:00,success,198.7,19849,
RUN0021,transform_fact_transactions,2024-11-06 15:00:00,running,,0,
RUN0022,ingest_api_prices,2024-05-21 20:00:00,success,88.4,28612,
RUN0023,transform_fact_transactions,2024-10-06 13:00:00,success,708.8,36724,
RUN0024,ingest_blockchain_events,2024-04-28 21:00:00,success,164.5,3899,
RUN0025,ingest_blockchain_events,2024-01-07 00:00:00,running,,0,
RUN0026,transform_fact_transactions,2024-10-02 23:00:00,success,807.6,40857,
RUN0027,dbt_run_models,2024-07-07 15:00:00,running,,0,
RUN0028,ingest_blockchain_events,2024-08-24 21:00:00,running,,0,
RUN0029,ingest_blockchain_events,2024-02-22 18:00:00,failed,496.8,0,ConnectionError: DB timeout
RUN0030,ingest_blockchain_events,2024-03-26 07:00:00,success,620.8,37642,
RUN0031,ingest_blockchain_events,2024-06-17 04:00:00,failed,473.3,0,ConnectionError: DB timeout
RUN0032,ingest_blockchain_events,2024-06-06 20:00:00,success,383.0,39093,
RUN0033,dbt_run_models,2024-12-15 05:00:00,success,676.5,31552,
RUN0034,transform_fact_transactions,2024-07-06 22:00:00,running,,0,
RUN0035,load_warehouse,2024-01-13 18:00:00,success,628.4,23638,
RUN0036,transform_fact_transactions,2024-12-28 13:00:00,running,,0,
RUN0037,ingest_api_prices,2024-05-07 22:00:00,success,238.1,30650,
RUN0038,transform_fact_transactions,2024-01-13 07:00:00,success,353.9,8289,
RUN0039,dbt_run_models,2024-08-10 18:00:00,failed,61.4,0,ConnectionError: DB timeout
RUN0040,dbt_run_models,2024-10-29 16:00:00,failed,144.0,0,ConnectionError: DB timeout
RUN0041,ingest_api_prices,2024-04-15 15:00:00,success,470.6,8159,
RUN0042,ingest_blockchain_events,2024-07-16 09:00:00,running,,0,
RUN0043,transform_fact_transactions,2024-10-04 20:00:00,success,95.2,40326,
RUN0044,ingest_blockchain_events,2024-04-04 00:00:00,success,343.6,6120,
RUN0045,load_warehouse,2024-08-22 01:00:00,success,195.5,15383,
RUN0046,ingest_blockchain_events,2024-01-12 21:00:00,success,379.7,16897,
RUN0047,load_warehouse,2024-08-17 12:00:00,failed,510.2,0,ConnectionError: DB timeout
RUN0048,transform_fact_transactions,2024-12-03 20:00:00,success,374.1,851,
RUN0049,ingest_blockchain_events,2024-05-27 22:00:00,success,866.4,46589,
RUN0050,load_warehouse,2024-04-29 16:00:00,failed,835.6,0,ConnectionError: DB timeout
RUN0051,dbt_run_models,2024-05-28 07:00:00,failed,847.1,0,ConnectionError: DB timeout
RUN0052,ingest_api_prices,2024-07-28 06:00:00,success,626.9,4162,
RUN0053,dbt_run_models,2024-10-10 21:00:00,running,,0,
RUN0054,dbt_run_models,2024-01-28 17:00:00,success,772.5,20808,
RUN0055,load_warehouse,2024-11-24 11:00:00,success,426.9,43841,
RUN0056,dbt_run_models,2024-08-15 02:00:00,success,182.3,43248,
RUN0057,ingest_blockchain_events,2024-04-10 06:00:00,success,537.4,7910,
RUN0058,dbt_run_models,2024-07-08 18:00:00,success,889.2,26664,
RUN0059,transform_fact_transactions,2024-12-07 06:00:00,failed,259.6,0,ConnectionError: DB timeout
RUN0060,ingest_api_prices,2024-04-23 15:00:00,success,66.4,42129,
RUN0061,transform_fact_transactions,2024-06-28 14:00:00,success,362.2,45657,
RUN0062,transform_fact_transactions,2024-10-18 03:00:00,success,750.6,17158,
RUN0063,load_warehouse,2024-09-17 02:00:00,failed,170.5,0,ConnectionError: DB timeout
RUN0064,transform_fact_transactions,2024-02-14 12:00:00,success,273.7,31364,
RUN0065,dbt_run_models,2024-04-01 15:00:00,running,,0,
RUN0066,load_warehouse,2024-07-19 08:00:00,failed,226.8,0,ConnectionError: DB timeout
RUN0067,transform_fact_transactions,2024-11-03 21:00:00,failed,426.7,0,ConnectionError: DB timeout
RUN0068,load_warehouse,2024-07-05 05:00:00,success,50.7,33923,
RUN0069,transform_fact_transactions,2024-04-01 18:00:00,failed,840.8,0,ConnectionError: DB timeout
RUN0070,load_warehouse,2024-03-16 00:00:00,success,577.3,2238,
RUN0071,dbt_run_models,2024-02-04 20:00:00,success,114.4,36035,
RUN0072,ingest_api_prices,2024-06-05 07:00:00,failed,178.9,0,ConnectionError: DB timeout
RUN0073,ingest_blockchain_events,2024-06-14 04:00:00,failed,320.8,0,ConnectionError: DB timeout
RUN0074,ingest_api_prices,2024-03-17 20:00:00,success,512.5,32582,
RUN0075,load_warehouse,2024-10-01 00:00:00,failed,776.8,0,ConnectionError: DB timeout
RUN0076,ingest_blockchain_events,2024-07-22 20:00:00,failed,889.0,0,ConnectionError: DB timeout
RUN0077,ingest_blockchain_events,2024-11-23 15:00:00,running,,0,
RUN0078,dbt_run_models,2024-05-27 08:00:00,failed,390.6,0,ConnectionError: DB timeout
RUN0079,load_warehouse,2024-01-06 23:00:00,running,,0,
RUN0080,load_warehouse,2024-06-14 06:00:00,failed,432.9,0,ConnectionError: DB timeout
RUN0081,ingest_api_prices,2024-02-13 13:00:00,success,65.8,24250,
RUN0082,ingest_api_prices,2024-01-31 00:00:00,failed,272.7,0,ConnectionError: DB timeout
RUN0083,dbt_run_models,2024-02-22 05:00:00,failed,748.2,0,ConnectionError: DB timeout
RUN0084,dbt_run_models,2024-05-29 12:00:00,running,,0,
RUN0085,dbt_run_models,2024-10-18 21:00:00,failed,92.2,0,ConnectionError: DB timeout
RUN0086,ingest_blockchain_events,2024-04-25 12:00:00,failed,852.3,0,ConnectionError: DB timeout
RUN0087,ingest_api_prices,2024-07-29 21:00:00,success,714.9,7823,
RUN0088,dbt_run_models,2024-02-05 05:00:00,success,593.1,7689,
RUN0089,load_warehouse,2024-10-01 10:00:00,running,,0,
RUN0090,transform_fact_transactions,2024-10-23 04:00:00,running,,0,
RUN0091,dbt_run_models,2024-06-14 05:00:00,success,161.7,12813,
RUN0092,dbt_run_models,2024-07-25 07:00:00,failed,643.2,0,ConnectionError: DB timeout
RUN0093,dbt_run_models,2024-11-03 12:00:00,success,474.2,47092,
RUN0094,transform_fact_transactions,2024-06-19 14:00:00,failed,65.9,0,ConnectionError: DB timeout
RUN0095,ingest_blockchain_events,2024-12-26 01:00:00,success,720.1,40148,
RUN0096,ingest_blockchain_events,2024-09-18 03:00:00,success,59.9,16304,
RUN0097,dbt_run_models,2024-06-26 04:00:00,success,282.6,16241,
RUN0098,ingest_blockchain_events,2024-05-24 07:00:00,success,680.1,32882,
RUN0099,ingest_blockchain_events,2024-04-06 00:00:00,success,81.0,12044,
RUN0100,ingest_blockchain_events,2024-05-20 18:00:00,success,723.1,15496,
RUN0101,dbt_run_models,2024-01-05 16:00:00,failed,555.0,0,ConnectionError: DB timeout
RUN0102,load_warehouse,2024-05-14 06:00:00,success,538.8,15049,
RUN0103,load_warehouse,2024-05-11 10:00:00,success,70.9,45215,
RUN0104,ingest_api_prices,2024-03-29 14:00:00,success,470.6,22415,
RUN0105,dbt_run_models,2024-11-26 16:00:00,success,68.6,42336,
RUN0106,load_warehouse,2024-04-21 01:00:00,success,660.6,5886,
RUN0107,load_warehouse,2024-03-27 12:00:00,failed,715.6,0,ConnectionError: DB timeout
RUN0108,ingest_api_prices,2024-08-10 12:00:00,failed,150.0,0,ConnectionError: DB timeout
RUN0109,load_warehouse,2024-12-27 19:00:00,running,,0,
RUN0110,transform_fact_transactions,2024-12-12 19:00:00,failed,137.4,0,ConnectionError: DB timeout
RUN0111,dbt_run_models,2024-04-18 15:00:00,failed,799.6,0,ConnectionError: DB timeout
RUN0112,load_warehouse,2024-03-01 21:00:00,failed,798.6,0,ConnectionError: DB timeout
RUN0113,load_warehouse,2024-10-24 14:00:00,success,305.8,23393,
RUN0114,ingest_api_prices,2024-06-25 15:00:00,success,696.2,7532,
RUN0115,ingest_api_prices,2024-11-18 22:00:00,running,,0,
RUN0116,ingest_blockchain_events,2024-03-26 20:00:00,success,390.7,8285,
RUN0117,dbt_run_models,2024-02-29 06:00:00,success,530.8,33613,
RUN0118,dbt_run_models,2024-05-18 12:00:00,success,829.3,14322,
RUN0119,ingest_api_prices,2024-07-20 00:00:00,success,132.5,14040,
RUN0120,load_warehouse,2024-01-25 08:00:00,success,32.0,17662,
RUN0121,ingest_api_prices,2024-05-16 22:00:00,success,676.2,43391,
RUN0122,ingest_api_prices,2024-03-16 21:00:00,success,98.7,34720,
RUN0123,ingest_api_prices,2024-11-14 09:00:00,success,282.7,25229,
RUN0124,transform_fact_transactions,2024-04-06 18:00:00,running,,0,
