date,token,open_usd,high_usd,low_usd,close_usd,volume_usd,source
2024-01-01,ETH,3454.7531,3334.2484,3033.7914,3242.5505,2209155879.13,coingecko
2024-01-01,BTC,66958.2022,71645.6966,58531.7934,62308.5585,2650612308.96,coinmarketcap
2024-01-01,USDC,1.0097,1.0659,0.9022,1.0738,3866083688.1,coinmarketcap
2024-01-01,USDT,0.9931,1.0114,0.8713,1.0587,3798974620.77,coinmarketcap
2024-01-01,SOL,183.8902,193.4814,173.9803,177.2222,4419710124.62,coingecko
2024-01-01,MATIC,0.8146,0.9684,0.7623,0.9064,3018524352.62,binance
2024-01-01,ARB,1.12,1.3217,1.0608,1.215,1677847534.37,coingecko
2024-01-01,OP,2.214,2.3946,2.003,2.2052,2118543392.34,coingecko
2024-01-01,BNB,441.7456,420.8224,367.9893,421.8692,2526960894.16,binance
2024-01-01,LINK,19.3474,20.1998,17.4911,17.907,3004134641.32,coingecko
2024-01-02,ETH,3070.3987,3608.836,2745.0528,2973.3055,2329273527.51,binance
2024-01-02,BTC,65962.7825,71361.9055,63822.619,62753.7354,2795148838.68,coingecko
2024-01-02,USDC,0.9811,1.1199,0.9076,0.9833,724530311.56,binance
2024-01-02,USDT,1.0657,1.1262,0.9208,1.0797,2425561523.29,coingecko
2024-01-02,SOL,169.5055,176.0146,160.1448,176.3012,3584799608.55,coinmarketcap
2024-01-02,MATIC,0.8023,0.9488,0.7657,0.9164,993074211.12,coinmarketcap
2024-01-02,ARB,1.1788,1.3071,1.1075,1.1146,2223922280.35,binance
2024-01-02,OP,2.0327,2.414,1.8172,2.2352,82099504.25,binance
2024-01-02,BNB,427.6272,475.6164,363.8453,448.3139,3025904557.46,coingecko
2024-01-02,LINK,19.6362,20.8726,16.2784,18.4953,4731283512.77,binance
2024-01-03,ETH,3324.27,3317.3077,3063.0597,3012.4972,3175275932.78,coingecko
2024-01-03,BTC,63226.4326,68960.1986,55474.0624,64546.824,4563368744.16,coingecko
2024-01-03,USDC,0.9834,1.0476,0.9083,1.061,3106793053.89,binance
2024-01-03,USDT,1.0325,1.1397,0.9061,1.024,4641833652.33,coingecko
2024-01-03,SOL,172.1232,175.2362,149.1836,168.5248,2174724305.3,binance
2024-01-03,MATIC,0.9087,0.9553,0.7649,0.7823,115903714.1,binance
2024-01-03,ARB,1.242,1.2615,1.0284,1.2584,2788747463.09,coinmarketcap
2024-01-03,OP,1.989,2.1855,1.9168,2.0831,2088900315.64,coinmarketcap
2024-01-03,BNB,409.9877,428.1843,357.5961,424.9462,4611676669.67,binance
2024-01-03,LINK,19.5002,19.425,16.4543,18.1129,2487201910.91,coingecko
2024-01-04,ETH,3064.3048,3438.0329,2808.8295,3351.0227,4964817248.54,coingecko
2024-01-04,BTC,66560.7087,70273.0732,56185.2098,68719.6863,3540023307.28,binance
2024-01-04,USDC,1.0625,1.0738,0.8964,1.0786,448987429.02,binance
2024-01-04,USDT,0.9674,1.1022,0.9061,0.9538,3720560126.93,coinmarketcap
2024-01-04,SOL,161.8285,180.3474,165.6274,179.5259,2557698198.41,coinmarketcap
2024-01-04,MATIC,0.8733,0.9723,0.7841,0.8946,3058759396.67,coingecko
2024-01-04,ARB,1.2372,1.3644,1.0428,1.2509,3459073273.38,coinmarketcap
2024-01-04,OP,1.9769,2.2735,2.061,2.1007,3395520463.31,binance
2024-01-04,BNB,397.1963,433.5273,376.6568,453.099,4362598263.64,coingecko
2024-01-04,LINK,18.9822,18.922,16.1385,17.0543,634604208.31,binance
2024-01-05,ETH,3330.0826,3607.0702,3019.4172,3092.4195,3351555399.76,binance
2024-01-05,BTC,67028.1044,65442.4689,59913.7442,61601.6234,1580369245.7,coinmarketcap
2024-01-05,USDC,0.9803,1.0985,0.938,1.0728,4405651769.87,binance
2024-01-05,USDT,1.0398,1.0975,0.9632,0.9313,337794768.81,coingecko
2024-01-05,SOL,179.2149,199.6618,160.8073,175.7747,3311851349.27,binance
2024-01-05,MATIC,0.8797,0.9359,0.8024,0.8411,919716493.4,coinmarketcap
2024-01-05,ARB,1.2839,1.3101,1.1058,1.2492,700648156.81,coingecko
2024-01-05,OP,2.2267,2.3696,2.0748,2.1101,4050173697.42,coinmarketcap
2024-01-05,BNB,406.8644,439.6327,361.3101,417.3455,3649123261.62,coinmarketcap
2024-01-05,LINK,17.9136,20.5174,18.2863,18.3767,337567103.42,coingecko
2024-01-06,ETH,3169.8382,3205.0189,3015.7474,3075.1021,3505702144.09,binance
2024-01-06,BTC,66398.4688,68543.1846,57125.9205,70178.1066,1289109923.3,coingecko
2024-01-06,USDC,1.03,1.0962,0.987,1.0067,3760241771.16,coingecko
2024-01-06,USDT,1.0663,1.0344,0.8642,1.0296,549725692.99,coinmarketcap
2024-01-06,SOL,183.4793,196.2094,156.6703,177.3302,4573031071.2,coinmarketcap
2024-01-06,MATIC,0.8956,0.8514,0.7299,0.8482,2159769106.12,coinmarketcap
2024-01-06,ARB,1.2845,1.2922,1.1778,1.1176,4386724274.64,coinmarketcap
2024-01-06,OP,2.2666,2.3791,1.8029,2.2139,1440426639.1,coingecko
2024-01-06,BNB,409.0139,468.1695,403.869,434.3775,4781134335.53,coinmarketcap
2024-01-06,LINK,17.325,20.7264,17.1198,17.5272,2411971499.51,coingecko
2024-01-07,ETH,3262.4962,3580.7754,3148.9215,3261.985,377846213.93,coinmarketcap
2024-01-07,BTC,69580.8926,69217.0919,62685.9566,68234.484,2986940338.07,coingecko
2024-01-07,USDC,1.0273,1.0787,0.887,0.9448,3981696615.72,coinmarketcap
2024-01-07,USDT,0.9992,1.1049,0.9049,0.9374,4823623823.98,coingecko
2024-01-07,SOL,166.7713,188.106,164.0014,182.613,1118726352.35,coinmarketcap
2024-01-07,MATIC,0.8891,0.8738,0.8466,0.8566,442929379.0,coinmarketcap
2024-01-07,ARB,1.1255,1.3064,1.089,1.1883,1723277446.69,binance
2024-01-07,OP,2.2299,2.2932,2.0219,2.1841,3141788654.36,coingecko
2024-01-07,BNB,407.2283,470.3191,382.6107,388.5526,681929231.92,coinmarketcap
2024-01-07,LINK,18.9811,19.728,18.0617,17.2355,465771337.9,binance
2024-01-08,ETH,3086.6228,3290.0621,2959.3679,3160.2033,756664123.28,coingecko
2024-01-08,BTC,66931.24,72961.5446,59474.8357,66206.7538,4105503706.57,binance
2024-01-08,USDC,0.9641,1.04,0.9441,0.9493,2493732357.35,coinmarketcap
2024-01-08,USDT,0.9767,1.1,0.9085,1.014,2671766947.13,coinmarketcap
2024-01-08,SOL,169.7513,177.748,156.2366,177.5794,1248710389.66,coingecko
2024-01-08,MATIC,0.8796,0.9007,0.8358,0.8105,2830900490.68,coinmarketcap
2024-01-08,ARB,1.2955,1.3769,1.0761,1.1562,567332127.3,binance
2024-01-08,OP,2.1807,2.2807,1.9294,2.1532,377017445.45,coinmarketcap
2024-01-08,BNB,448.6971,437.2147,396.2319,453.3729,3085854163.04,coingecko
2024-01-08,LINK,17.7997,20.933,18.2032,18.3648,4089415108.87,coingecko
2024-01-09,ETH,3414.1264,3335.1188,3118.1133,3016.9073,1902782866.22,coingecko
2024-01-09,BTC,63186.2529,73703.4352,64645.1416,61206.2774,2990096694.45,coingecko
2024-01-09,USDC,0.9416,1.0694,0.938,0.9977,3479105775.41,coingecko
2024-01-09,USDT,0.9721,1.0682,0.8679,0.9889,1687174922.5,binance
2024-01-09,SOL,167.1934,192.2567,151.1719,172.2578,383006063.28,coinmarketcap
2024-01-09,MATIC,0.8599,0.8783,0.8128,0.8198,3213488062.64,coingecko
2024-01-09,ARB,1.1898,1.3711,1.1631,1.2033,54865801.79,coinmarketcap
2024-01-09,OP,2.1961,2.3704,1.801,2.1698,2080615289.1,binance
2024-01-09,BNB,421.9624,480.6166,407.5648,386.7042,703492243.79,binance
2024-01-09,LINK,18.2554,18.8586,17.9905,19.1996,3237819961.12,coingecko
2024-01-10,ETH,3414.9465,3611.404,2743.0023,3240.2807,2041302014.63,binance
2024-01-10,BTC,68848.8605,69322.0681,64280.367,61456.2021,3965595702.99,binance
2024-01-10,USDC,0.9482,1.1135,0.9667,0.9592,99128497.72,binance
2024-01-10,USDT,0.9849,1.0819,0.9862,0.9798,4973721072.52,coingecko
2024-01-10,SOL,173.3196,195.2097,155.3744,187.1094,4912453466.5,binance
2024-01-10,MATIC,0.8846,0.8594,0.8346,0.9023,4319912769.97,coingecko
2024-01-10,ARB,1.2829,1.2502,1.0494,1.2036,675885921.49,coinmarketcap
2024-01-10,OP,2.0951,2.1356,1.9284,2.0878,3394938286.76,coingecko
2024-01-10,BNB,431.9474,453.7726,418.5215,437.9066,947418509.49,binance
2024-01-10,LINK,19.0353,19.8054,16.4742,18.3852,2506126550.62,coingecko
2024-01-11,ETH,3083.6773,3532.9138,2877.2841,2973.3675,1658289201.86,coingecko
2024-01-11,BTC,68410.0825,74061.9435,61473.1566,62029.5456,2138674876.84,coinmarketcap
2024-01-11,USDC,0.9906,1.0561,0.9846,0.9622,3959120245.79,coinmarketcap
2024-01-11,USDT,0.9741,1.1053,0.8554,1.0232,3125710467.51,coingecko
2024-01-11,SOL,166.0414,191.6868,157.8036,184.0841,2558087677.27,binance
2024-01-11,MATIC,0.814,0.8677,0.8492,0.7909,4543608732.59,coingecko
2024-01-11,ARB,1.2647,1.3715,1.1188,1.1315,4148198061.65,binance
2024-01-11,OP,1.9722,2.1844,1.8526,2.0183,3491706389.54,coinmarketcap
2024-01-11,BNB,410.5037,460.1908,395.8107,445.5567,1056021812.98,coinmarketcap
2024-01-11,LINK,19.325,19.1425,17.1517,19.5361,1706516130.56,binance
2024-01-12,ETH,2960.5562,3461.1423,2954.292,3386.315,472658576.48,binance
2024-01-12,BTC,66827.9151,73695.3646,62568.5153,66979.1873,523901080.62,binance
2024-01-12,USDC,1.0364,1.0918,0.9714,0.9999,3555470526.49,binance
2024-01-12,USDT,0.965,1.0473,0.9282,1.0574,1247561896.84,coingecko
2024-01-12,SOL,170.971,184.9564,162.3596,179.7908,4393110820.22,coingecko
2024-01-12,MATIC,0.9051,0.8711,0.7794,0.9172,4660558082.46,binance
2024-01-12,ARB,1.2154,1.285,1.1021,1.1493,2662876943.42,coinmarketcap
2024-01-12,OP,2.2605,2.2824,1.9443,2.2371,2252924331.7,coinmarketcap
2024-01-12,BNB,389.0201,428.817,384.2449,392.3999,268173947.91,binance
2024-01-12,LINK,17.7873,19.6731,16.3672,18.9959,708169934.91,coingecko
2024-01-13,ETH,2988.9483,3649.0257,3110.5914,3136.3226,653998112.68,coinmarketcap
2024-01-13,BTC,67405.7743,73253.9298,63649.7959,67432.1382,3199678343.49,binance
2024-01-13,USDC,1.0796,1.0953,0.9515,0.9503,3318367361.74,coinmarketcap
2024-01-13,USDT,1.0368,1.1254,0.9482,1.0597,4073069728.49,coingecko
2024-01-13,SOL,179.0479,199.175,166.4281,180.0187,591403124.5,coinmarketcap
2024-01-13,MATIC,0.8771,0.972,0.7296,0.8061,906510047.71,coingecko
2024-01-13,ARB,1.1217,1.3136,1.1363,1.1235,3510025128.12,binance
2024-01-13,OP,2.1154,2.2794,1.9144,1.9845,4622228822.14,coingecko
2024-01-13,BNB,390.5502,427.0685,402.3827,446.5502,3716724483.02,coinmarketcap
2024-01-13,LINK,19.1936,20.1503,17.9004,17.0556,3102395171.19,coingecko
2024-01-14,ETH,3153.8357,3426.005,2951.6966,3040.5273,239692029.53,coinmarketcap
2024-01-14,BTC,67055.7774,70388.3648,63547.3462,64152.2271,912508019.37,coinmarketcap
2024-01-14,USDC,1.0534,1.0432,0.851,0.9775,2161188565.28,coinmarketcap
2024-01-14,USDT,0.9724,1.076,0.9629,0.9617,42651434.13,binance
2024-01-14,SOL,175.5764,195.4081,166.7126,163.7008,3516628066.37,coingecko
2024-01-14,MATIC,0.8681,0.9222,0.7391,0.8023,929751008.04,binance
2024-01-14,ARB,1.234,1.3345,1.0942,1.1246,1504930668.93,coinmarketcap
2024-01-14,OP,1.9569,2.2386,1.8292,2.032,127641862.83,coinmarketcap
2024-01-14,BNB,412.9013,462.2675,398.6512,412.204,4241372023.58,coinmarketcap
2024-01-14,LINK,18.8864,21.1095,16.0012,18.5565,4680562802.5,coinmarketcap
2024-01-15,ETH,3181.6782,3520.9517,3030.7457,3410.2716,2929590316.46,binance
2024-01-15,BTC,63602.9615,68357.9493,58913.6847,64414.9906,438281431.23,coinmarketcap
2024-01-15,USDC,1.0644,1.1367,0.858,1.0787,3355869989.7,coinmarketcap
2024-01-15,USDT,0.9774,1.0232,0.8543,1.0281,1908248894.17,coingecko
2024-01-15,SOL,180.2152,194.9899,152.0309,162.6583,4855846453.85,binance
2024-01-15,MATIC,0.8538,0.859,0.8027,0.8216,4206702674.7,coinmarketcap
2024-01-15,ARB,1.1238,1.3624,1.149,1.1649,2615773155.09,coinmarketcap
2024-01-15,OP,1.9522,2.2267,1.7963,2.2499,3638623459.32,coinmarketcap
2024-01-15,BNB,390.0948,463.5807,393.4103,408.9854,4349898541.5,coingecko
2024-01-15,LINK,17.4964,18.7055,17.1303,18.2417,2469629607.5,coinmarketcap
2024-01-16,ETH,3379.6645,3233.7215,2997.5213,3046.4225,3535005276.29,coingecko
2024-01-16,BTC,63947.7512,71724.4603,64899.3562,68175.8015,2154589956.14,coinmarketcap
2024-01-16,USDC,0.9401,1.1266,0.9137,1.0657,1207771017.19,coingecko
2024-01-16,USDT,0.9899,1.0821,0.938,1.0759,1584186051.81,binance
2024-01-16,SOL,186.0357,193.9668,158.3005,165.54,724455687.98,coinmarketcap
2024-01-16,MATIC,0.8946,0.8643,0.8149,0.8894,1278821885.34,coingecko
2024-01-16,ARB,1.243,1.354,1.0884,1.259,3372796251.19,binance
2024-01-16,OP,1.9444,2.2238,2.0251,1.9515,4252947349.28,coinmarketcap
2024-01-16,BNB,413.763,455.1025,386.121,418.917,4393502343.58,coinmarketcap
2024-01-16,LINK,19.6278,19.2727,17.1651,17.7978,2100441606.77,coinmarketcap
2024-01-17,ETH,3396.5724,3523.1355,2997.7397,3021.4971,3304868802.26,coingecko
2024-01-17,BTC,64263.8164,66950.7809,56665.1805,65194.4406,4491444474.83,binance
2024-01-17,USDC,0.9468,1.0672,0.9709,0.9207,4710247767.67,coingecko
2024-01-17,USDT,0.954,1.0446,0.8726,1.0523,4693976634.89,coinmarketcap
2024-01-17,SOL,174.7209,181.4173,167.816,172.8151,2414591924.3,coingecko
2024-01-17,MATIC,0.8668,0.8977,0.7791,0.8348,2287260883.05,coingecko
2024-01-17,ARB,1.1505,1.3123,1.1499,1.1372,1509178451.27,binance
2024-01-17,OP,1.9608,2.173,1.9565,2.1393,2212648955.9,coinmarketcap
2024-01-17,BNB,441.4195,441.5954,370.828,423.3886,3125896145.52,coingecko
2024-01-17,LINK,19.4648,20.6135,18.1504,17.1295,515307043.54,coinmarketcap
2024-01-18,ETH,3447.2661,3600.2279,3160.8327,3123.4309,415267570.91,binance
2024-01-18,BTC,65414.4529,70469.3633,60675.1905,67171.4605,4387254260.47,coingecko
2024-01-18,USDC,0.9585,1.1112,0.8755,1.0355,3060843494.32,coingecko
2024-01-18,USDT,0.9803,1.0459,0.8793,0.9628,1846472218.97,binance
2024-01-18,SOL,172.062,195.391,172.9248,167.924,4297684564.62,coingecko
2024-01-18,MATIC,0.8549,0.9228,0.7391,0.8271,2535124519.2,coinmarketcap
2024-01-18,ARB,1.2401,1.3648,1.108,1.1748,1517391046.82,coinmarketcap
