log_id,timestamp,level,service,message,duration_ms,wallet_address,tx_hash,error_code
1,2024-07-08 07:37:46,DEBUG,wallet-service,Connecting to DB,,0x015778731740779ca88b8e4615d18103a9160531,,
2,2024-07-31 02:18:22,INFO,auth-service,Pipeline started,3393.7,,,
3,2024-06-21 01:36:08,WARN,auth-service,Retry attempt 2/3,3807.0,,0xb00b52c214b2c8161196d2c2be2b7bd0c7a710bb58ca17c04035d784243a9a3f,
4,2024-04-23 01:45:56,ERROR,price-feed,Pipeline failed,3421.7,,0x930fe5a1f889e1dbaa96e12018e1ff87872f25f022a877fb8a6c068c621e66ce,E6451
5,2024-11-24 04:04:05,DEBUG,notification-service,Executing SQL,,0x2ee92702de0ffc6dfd0ad50ab5f2a83d5749f146,,
6,2024-04-14 03:13:55,INFO,api-gateway,Pipeline started,3881.5,0x3ed35b341e26b6a2d514b1f3f33b10ab1acee7fb,,
7,2024-11-12 18:51:43,DEBUG,api-gateway,Reading CSV chunk,,,0x0ff622cbc924254a114d8d431e254b8c5f0d8c9d4564a6127e6fbca2ed64d0ef,
8,2024-04-30 15:07:42,WARN,wallet-service,Slow query >2s,2878.1,,0x079c605b33d060a93d6980de9f6f1c1cf9d5e08f3517b23a334e5ad2ba8159b0,
9,2024-03-12 17:17:48,ERROR,notification-service,Pipeline failed,4925.1,,,E5208
10,2024-03-11 18:36:49,INFO,wallet-service,Request processed,3250.4,,,
11,2024-07-06 15:48:39,INFO,tx-processor,Pipeline started,604.2,,0xcff735be1e582192057a4228bded6e62637ad55e87e1023d21a05f6abf07ccee,
12,2024-12-02 21:41:28,ERROR,price-feed,Connection timeout,4333.6,0x68bc20d8da861b3789bf1b81ff4054751c98fadc,,E5373
13,2024-05-21 15:36:08,INFO,wallet-service,Request processed,1641.3,0xbea45679ccd7e419963c4c51a79e7ca4b807797e,,
14,2024-09-22 21:45:13,ERROR,tx-processor,Data quality check failed,1564.1,,,E4595
15,2024-01-02 11:37:31,INFO,auth-service,Request processed,2055.9,,,
16,2024-11-08 07:51:07,INFO,auth-service,Request processed,3187.9,0x9b6609a6dce15fd6bcabd5f6c59431c189616e5f,,
17,2024-05-18 09:21:19,ERROR,tx-processor,Null value in required field,889.8,,,E9464
18,2024-07-05 10:35:47,ERROR,auth-service,Null value in required field,2012.8,,,E3215
19,2024-09-07 11:05:56,WARN,auth-service,Rate limit approaching,4312.5,0xb36391bdfcb44e575ebff52ed1b0f69f22f11589,0xa353c731cc57ce76fad98f3fa431cbdccf585986645e23273453015c7f033c3b,
20,2024-06-15 12:39:55,INFO,tx-processor,Health check passed,4838.4,,0x313ef4a31b780101f69242b41696f7a98f40d3468545d217f803fef1909d0898,
21,2024-01-28 19:51:30,INFO,auth-service,Health check passed,1656.8,,,
22,2024-07-05 15:45:25,WARN,auth-service,High gas price detected,578.7,0x3b969c03fc093e07aab6e2579fc7daf81c83861c,,
23,2024-03-07 13:53:22,WARN,auth-service,Memory usage >80%,3582.8,0x4ba920456720dc96bcdfb3af3bdd7b834532a3b2,,
24,2024-09-02 05:47:11,INFO,auth-service,Data loaded successfully,1661.1,,0x57913d960566e8c88febecb5a176d87d1988d9bb5caa72f01d7d5c64500609fc,
25,2024-09-07 20:51:56,ERROR,api-gateway,Null value in required field,4480.7,0x276b8312b81b5f8527f339044ff2e51af47899c1,,E1418
26,2024-04-12 19:33:51,INFO,tx-processor,Pipeline started,1749.4,0x1cce21712d961b9c63b55b05e1873545332559cf,,
27,2024-03-11 07:31:02,WARN,auth-service,Memory usage >80%,3707.4,,0x8a8eaf75e57517441db63b0ae77616e23c15dbc07646530a245e943f67bd99a5,
28,2024-12-02 02:17:50,INFO,auth-service,Pipeline started,252.8,,,
29,2024-04-23 07:56:35,INFO,api-gateway,Health check passed,528.1,0x4c2b1a4e367881586a6da0c5614ef526e54e4cb1,,
30,2024-10-28 00:33:42,INFO,notification-service,Request processed,4449.8,0xccee48aa6319604eaae41e1fc325ec8e29f02816,,
31,2024-05-24 22:06:23,ERROR,api-gateway,Data quality check failed,2090.0,,,E8322
32,2024-11-08 12:04:50,INFO,auth-service,Health check passed,1300.1,0x11741168693b28c30105126e741fb1aaa0296184,,
33,2024-12-08 06:49:03,DEBUG,api-gateway,Reading CSV chunk,,,,
34,2024-01-28 05:01:56,WARN,auth-service,Memory usage >80%,2505.9,,0xc6d3564122266acec142ae0d0adaaab65d88b5ae7f28636db4d975a2821bcf66,
35,2024-11-15 17:09:18,DEBUG,tx-processor,Executing SQL,,,,
36,2024-12-22 16:45:04,INFO,tx-processor,Health check passed,3377.4,0x5ea5b583a4ea9151de737cb938ab8bcd35ffe0d4,0xb5583b2e72ebedd750d239e2fa0b4ed7ef11c592e83d181580ea21c69f65526f,
37,2024-07-15 21:58:56,DEBUG,tx-processor,Executing SQL,,,,
38,2024-11-09 08:25:48,WARN,wallet-service,Rate limit approaching,2931.8,,,
