offset_id,topic,partition,offset,consumer_group,lag,committed_at
1,mempool-events,0,25776,blockchain-analytics-cg,286,2024-01-01 00:00:00
2,aggregated-metrics,1,15736,blockchain-analytics-cg,77,2024-01-01 00:00:55
3,aggregated-metrics,1,576351,blockchain-analytics-cg,306,2024-01-01 00:01:30
4,aggregated-metrics,5,968094,blockchain-analytics-cg,438,2024-01-01 00:02:05
5,mempool-events,4,508907,blockchain-analytics-cg,438,2024-01-01 00:02:57
6,aggregated-metrics,5,35242,blockchain-analytics-cg,358,2024-01-01 00:03:56
7,mempool-events,1,3537,blockchain-analytics-cg,399,2024-01-01 00:04:06
8,defi-prices,0,446056,blockchain-analytics-cg,141,2024-01-01 00:05:05
9,defi-prices,4,930413,blockchain-analytics-cg,425,2024-01-01 00:05:41
10,alert-high-value,1,204641,blockchain-analytics-cg,471,2024-01-01 00:05:48
11,alert-high-value,5,737053,blockchain-analytics-cg,223,2024-01-01 00:06:37
12,mempool-events,0,516825,blockchain-analytics-cg,292,2024-01-01 00:07:20
13,defi-prices,5,141343,blockchain-analytics-cg,324,2024-01-01 00:08:19
14,aggregated-metrics,7,854229,blockchain-analytics-cg,47,2024-01-01 00:09:16
15,aggregated-metrics,4,784367,blockchain-analytics-cg,84,2024-01-01 00:09:41
16,defi-prices,6,200435,blockchain-analytics-cg,293,2024-01-01 00:09:49
17,mempool-events,2,60984,blockchain-analytics-cg,42,2024-01-01 00:10:47
18,alert-high-value,1,824712,blockchain-analytics-cg,172,2024-01-01 00:11:25
19,aggregated-metrics,3,598716,blockchain-analytics-cg,147,2024-01-01 00:12:00
20,aggregated-metrics,3,90005,blockchain-analytics-cg,238,2024-01-01 00:12:15
21,alert-high-value,3,406943,blockchain-analytics-cg,345,2024-01-01 00:12:22
22,alert-high-value,1,39660,blockchain-analytics-cg,25,2024-01-01 00:13:17
23,aggregated-metrics,4,514655,blockchain-analytics-cg,178,2024-01-01 00:13:25
24,mempool-events,0,553462,blockchain-analytics-cg,487,2024-01-01 00:13:57
25,aggregated-metrics,7,143867,blockchain-analytics-cg,488,2024-01-01 00:14:13
26,alert-high-value,6,712865,blockchain-analytics-cg,125,2024-01-01 00:14:32
27,mempool-events,7,548095,blockchain-analytics-cg,47,2024-01-01 00:15:29
28,alert-high-value,5,223777,blockchain-analytics-cg,420,2024-01-01 00:15:57
29,aggregated-metrics,3,575677,blockchain-analytics-cg,389,2024-01-01 00:16:56
30,aggregated-metrics,2,917966,blockchain-analytics-cg,271,2024-01-01 00:17:32
31,defi-prices,5,882934,blockchain-analytics-cg,417,2024-01-01 00:17:33
32,aggregated-metrics,6,759462,blockchain-analytics-cg,399,2024-01-01 00:17:52
33,defi-prices,3,567658,blockchain-analytics-cg,382,2024-01-01 00:17:58
34,defi-prices,2,988887,blockchain-analytics-cg,469,2024-01-01 00:18:18
35,aggregated-metrics,4,957549,blockchain-analytics-cg,32,2024-01-01 00:19:11
36,defi-prices,2,431149,blockchain-analytics-cg,192,2024-01-01 00:19:49
37,defi-prices,0,465161,blockchain-analytics-cg,331,2024-01-01 00:20:15
38,defi-prices,4,97208,blockchain-analytics-cg,201,2024-01-01 00:20:43
39,aggregated-metrics,6,665191,blockchain-analytics-cg,150,2024-01-01 00:21:34
40,alert-high-value,4,157920,blockchain-analytics-cg,369,2024-01-01 00:22:18
41,alert-high-value,7,978849,blockchain-analytics-cg,291,2024-01-01 00:23:05
42,aggregated-metrics,6,241776,blockchain-analytics-cg,491,2024-01-01 00:23:44
43,alert-high-value,3,306968,blockchain-analytics-cg,51,2024-01-01 00:23:51
44,mempool-events,4,458502,blockchain-analytics-cg,418,2024-01-01 00:24:16
45,defi-prices,2,721652,blockchain-analytics-cg,399,2024-01-01 00:25:01
46,mempool-events,7,497594,blockchain-analytics-cg,144,2024-01-01 00:25:16
47,alert-high-value,5,295336,blockchain-analytics-cg,256,2024-01-01 00:25:22
48,defi-prices,5,954493,blockchain-analytics-cg,377,2024-01-01 00:26:03
49,aggregated-metrics,6,621970,blockchain-analytics-cg,33,2024-01-01 00:26:27
50,aggregated-metrics,6,486652,blockchain-analytics-cg,483,2024-01-01 00:26:30
51,defi-prices,6,870336,blockchain-analytics-cg,162,2024-01-01 00:27:26
52,alert-high-value,2,97168,blockchain-analytics-cg,493,2024-01-01 00:27:36
53,aggregated-metrics,2,322136,blockchain-analytics-cg,79,2024-01-01 00:28:17
54,aggregated-metrics,6,675568,blockchain-analytics-cg,190,2024-01-01 00:28:57
55,mempool-events,6,169335,blockchain-analytics-cg,315,2024-01-01 00:29:56
56,defi-prices,6,682820,blockchain-analytics-cg,488,2024-01-01 00:30:24
57,mempool-events,5,38890,blockchain-analytics-cg,175,2024-01-01 00:31:19
58,mempool-events,0,528396,blockchain-analytics-cg,201,2024-01-01 00:31:56
59,aggregated-metrics,5,412960,blockchain-analytics-cg,456,2024-01-01 00:32:40
60,mempool-events,6,23646,blockchain-analytics-cg,55,2024-01-01 00:32:51
61,defi-prices,7,458796,blockchain-analytics-cg,41,2024-01-01 00:32:56
62,defi-prices,3,360793,blockchain-analytics-cg,213,2024-01-01 00:33:45
63,aggregated-metrics,2,954734,blockchain-analytics-cg,453,2024-01-01 00:34:15
64,alert-high-value,2,860154,blockchain-analytics-cg,344,2024-01-01 00:35:05
65,alert-high-value,4,648055,blockchain-analytics-cg,132,2024-01-01 00:35:22
66,mempool-events,6,151820,blockchain-analytics-cg,482,2024-01-01 00:35:46
67,defi-prices,3,215068,blockchain-analytics-cg,469,2024-01-01 00:35:54
68,defi-prices,2,206085,blockchain-analytics-cg,124,2024-01-01 00:36:06
69,defi-prices,1,920519,blockchain-analytics-cg,382,2024-01-01 00:37:03
70,mempool-events,0,311366,blockchain-analytics-cg,442,2024-01-01 00:37:54
71,defi-prices,5,301349,blockchain-analytics-cg,11,2024-01-01 00:38:01
72,mempool-events,5,474562,blockchain-analytics-cg,396,2024-01-01 00:38:41
73,defi-prices,7,303417,blockchain-analytics-cg,59,2024-01-01 00:39:22
74,mempool-events,4,700937,blockchain-analytics-cg,32,2024-01-01 00:40:22
75,defi-prices,3,890459,blockchain-analytics-cg,123,2024-01-01 00:40:24
76,alert-high-value,6,827240,blockchain-analytics-cg,486,2024-01-01 00:40:53
