window_id,window_start,window_end,token,chain,msg_count,avg_price,min_price,max_price,total_volume_usd,price_change_pct,alert_triggered
1,2024-01-01 00:00:00,2024-01-01 00:00:30,OP,arbitrum,40,2.0786,2.0289,2.2,55164440.73,0.737,0
2,2024-01-01 00:00:30,2024-01-01 00:01:00,BNB,polygon,477,419.5506,415.1324,425.6806,476195484.0,-4.9649,0
3,2024-01-01 00:01:00,2024-01-01 00:01:30,MATIC,polygon,240,0.8647,0.8306,0.8646,54174183.52,-0.9182,0
4,2024-01-01 00:01:30,2024-01-01 00:02:00,MATIC,arbitrum,438,0.8741,0.8411,0.8973,376442303.42,-4.0009,1
5,2024-01-01 00:02:00,2024-01-01 00:02:30,USDT,polygon,78,0.9869,0.9879,1.0648,178755475.8,-4.9414,0
6,2024-01-01 00:02:30,2024-01-01 00:03:00,MATIC,polygon,181,0.8609,0.8296,0.8847,260210107.04,-2.0605,1
7,2024-01-01 00:03:00,2024-01-01 00:03:30,LINK,ethereum,177,18.1075,17.5144,19.1102,42638820.49,4.5637,0
8,2024-01-01 00:03:30,2024-01-01 00:04:00,ETH,ethereum,388,3213.3935,2997.3754,3279.5567,383264222.36,-0.8711,0
9,2024-01-01 00:04:00,2024-01-01 00:04:30,SOL,arbitrum,450,174.3114,164.4008,186.3273,158071149.4,-0.7757,0
10,2024-01-01 00:04:30,2024-01-01 00:05:00,ETH,ethereum,179,3158.9398,3120.441,3303.3516,216064617.5,-4.0559,0
11,2024-01-01 00:05:00,2024-01-01 00:05:30,LINK,optimism,358,18.1239,17.552,18.8127,336834299.64,1.1559,0
12,2024-01-01 00:05:30,2024-01-01 00:06:00,ARB,arbitrum,203,1.186,1.1863,1.2822,61467791.22,-2.861,1
13,2024-01-01 00:06:00,2024-01-01 00:06:30,USDC,ethereum,331,0.9956,0.9536,1.0392,138985491.97,-0.1626,0
14,2024-01-01 00:06:30,2024-01-01 00:07:00,USDT,arbitrum,198,1.0161,0.9344,1.0488,191692211.02,3.6605,0
15,2024-01-01 00:07:00,2024-01-01 00:07:30,BNB,optimism,65,415.5282,407.7674,447.6195,291045903.92,-3.397,0
16,2024-01-01 00:07:30,2024-01-01 00:08:00,MATIC,optimism,193,0.8728,0.8101,0.8837,384323593.64,1.0546,0
17,2024-01-01 00:08:00,2024-01-01 00:08:30,OP,arbitrum,442,2.0458,1.9786,2.1312,319305151.88,0.5165,0
18,2024-01-01 00:08:30,2024-01-01 00:09:00,MATIC,arbitrum,139,0.8427,0.8131,0.8953,350647950.38,3.9052,1
19,2024-01-01 00:09:00,2024-01-01 00:09:30,MATIC,ethereum,254,0.8743,0.7979,0.8681,72301302.66,1.1928,1
20,2024-01-01 00:09:30,2024-01-01 00:10:00,USDC,polygon,10,1.0043,0.979,1.0255,470472446.77,4.805,0
21,2024-01-01 00:10:00,2024-01-01 00:10:30,LINK,optimism,81,18.7392,18.0647,19.2616,172415605.06,-3.5072,1
22,2024-01-01 00:10:30,2024-01-01 00:11:00,ARB,ethereum,199,1.2013,1.1438,1.2217,211007199.83,-4.4133,1
23,2024-01-01 00:11:00,2024-01-01 00:11:30,ETH,optimism,222,3247.067,3028.5936,3408.9344,318434616.06,-1.9129,1
24,2024-01-01 00:11:30,2024-01-01 00:12:00,MATIC,polygon,78,0.8592,0.8375,0.9025,474963924.73,-0.5461,0
25,2024-01-01 00:12:00,2024-01-01 00:12:30,USDC,optimism,316,1.0082,0.9668,1.0516,453562676.76,2.7073,0
26,2024-01-01 00:12:30,2024-01-01 00:13:00,BTC,ethereum,429,64368.6778,61974.4325,69465.6245,142424309.87,3.8446,0
27,2024-01-01 00:13:00,2024-01-01 00:13:30,OP,polygon,74,2.1606,1.9535,2.1704,258442039.17,-0.349,1
28,2024-01-01 00:13:30,2024-01-01 00:14:00,SOL,arbitrum,256,179.7172,171.9204,179.4916,61978245.68,4.6829,0
29,2024-01-01 00:14:00,2024-01-01 00:14:30,BNB,optimism,201,422.3452,409.9361,446.3112,223552877.27,0.2264,0
30,2024-01-01 00:14:30,2024-01-01 00:15:00,USDC,ethereum,386,0.9726,0.9813,1.057,70522599.18,3.9639,0
31,2024-01-01 00:15:00,2024-01-01 00:15:30,LINK,optimism,289,18.8126,18.2307,19.2393,122462576.5,-2.8799,0
32,2024-01-01 00:15:30,2024-01-01 00:16:00,USDC,polygon,231,1.0182,0.9658,1.0246,2831949.98,1.3185,0
33,2024-01-01 00:16:00,2024-01-01 00:16:30,ARB,optimism,317,1.1769,1.1304,1.2829,118844632.01,3.3691,1
34,2024-01-01 00:16:30,2024-01-01 00:17:00,ETH,ethereum,369,3295.0383,3016.5708,3262.5781,285967382.5,-2.4824,1
35,2024-01-01 00:17:00,2024-01-01 00:17:30,SOL,arbitrum,243,177.8436,162.8757,177.1952,487072644.41,-3.3318,0
36,2024-01-01 00:17:30,2024-01-01 00:18:00,ARB,optimism,21,1.2226,1.1283,1.222,316581388.84,-0.1,0
37,2024-01-01 00:18:00,2024-01-01 00:18:30,LINK,ethereum,381,18.5997,17.3917,19.4509,200070300.99,2.8927,0
38,2024-01-01 00:18:30,2024-01-01 00:19:00,USDT,arbitrum,376,1.0083,0.9354,1.0345,386016122.69,0.4728,0
39,2024-01-01 00:19:00,2024-01-01 00:19:30,SOL,optimism,454,171.8901,168.31,183.2896,78243324.57,1.2842,0
40,2024-01-01 00:19:30,2024-01-01 00:20:00,USDT,optimism,285,1.0056,0.952,1.052,469266084.53,2.6395,0
41,2024-01-01 00:20:00,2024-01-01 00:20:30,LINK,arbitrum,18,18.0957,17.8444,18.843,27369268.66,3.7988,0
42,2024-01-01 00:20:30,2024-01-01 00:21:00,ETH,polygon,285,3143.9578,3134.9302,3367.397,54645795.89,2.183,0
43,2024-01-01 00:21:00,2024-01-01 00:21:30,USDT,polygon,38,1.003,0.9579,1.0111,378903522.07,-2.3843,1
44,2024-01-01 00:21:30,2024-01-01 00:22:00,ETH,optimism,247,3115.3433,3068.3559,3332.563,77394511.06,-2.5354,0
45,2024-01-01 00:22:00,2024-01-01 00:22:30,USDC,arbitrum,306,1.0052,0.9418,1.0662,345992510.67,-2.4557,1
46,2024-01-01 00:22:30,2024-01-01 00:23:00,OP,arbitrum,337,2.076,2.0236,2.1758,330198192.86,0.7031,0
47,2024-01-01 00:23:00,2024-01-01 00:23:30,ARB,arbitrum,50,1.2296,1.1454,1.2643,433779802.23,-0.2844,0
