order_id,user_id,wallet_address,product_name,product_type,amount_usd,discount_usd,final_amount_usd,payment_method,chain,tx_hash,gas_fee_usd,status,created_at,country
ORD00001,USR0161,0x2effc0c1a400c1b2c7ba2d9ad0097c764e40bb9b,Web3 API Access - Starter,subscription,19.45,0.0,19.45,SOL,optimism,0xd560f60b8754c6a41c601c10cdae14d37c605a86509cb4e1855a6e318a1fdce4,13.8535,completed,2024-01-14 22:36:13,IN
ORD00002,USR0192,0xc13062845291792179ebdeb528399ba276a79f33,Blockchain Analytics Dashboard,subscription,209.36,31.4,177.96,credit_card,,,,completed,2024-02-08 05:33:23,FR
ORD00003,USR0043,0x6e552dc21e009ad8f7da84879177ade969b2185c,Crypto Tax Reporter,one_time,76.23,0.0,76.23,BTC,solana,0x470d460908efdcd1860c8bd6a87bdcf4374ca2bc48d1a511cea0d5df3be6d85c,,pending,2024-01-18 20:40:00,US
ORD00004,USR0038,0x0615f894aaeb04b0b29c8055d04c065d1c97fea5,DeFi Portfolio Tracker,subscription,50.78,0.0,50.78,ETH,polygon,0xc6d73cdda7b175122742bffa6d195145cf80668bef6db94ff1dcedb931266cdc,1.645,completed,2024-08-07 18:49:54,IN
ORD00005,USR0159,0x4324cf79e0b87ec1125a5afe56be4670eec4009a,DeFi Portfolio Tracker,subscription,45.5,2.27,43.23,BTC,optimism,0xd859b8d049800498124d0c91abb7d50887cf3d535b20d1960f5b682f294c18e3,,completed,2024-08-14 11:25:06,AE
ORD00006,USR0171,0xe036f921fac7adba6b2c37438e56607a19a9de20,NFT Marketplace Pro,subscription,106.94,16.04,90.9,ETH,arbitrum,0xef0565528d3ad16992e5706ebead4f991bc7895028a6da4cfcc654ce32450d68,1.571,completed,2024-06-29 16:28:28,JP
ORD00007,USR0151,0x245dde6ff5e65bdbb37f1bf900853561c60e08bf,Crypto Tax Reporter,one_time,82.01,4.1,77.91,ETH,solana,0x90a170f6017c0c01357d0ef9df40c4a2624e6d72a74a66bba01a5215beb1b9b6,14.9909,completed,2024-06-13 18:50:45,KR
ORD00008,USR0028,0xfbfa34ba9db360181b064f766eb94bb064d0a077,DeFi Portfolio Tracker,subscription,49.73,7.46,42.27,USDC,solana,0xbffe0722bb045b6bd4c2cd09b0faa3e2ddf72f1f208fbb24299d232c56f4e7c8,14.6802,completed,2024-05-19 09:44:30,IN
ORD00009,USR0071,0x7423744658273e5b7c91e95ee68427071846af7e,NFT Marketplace Pro,subscription,104.51,0.0,104.51,SOL,arbitrum,0xe9256b007f49fdada5e0fcd80c88af0fb751185ff4671c9371f89248d502e2e9,7.7025,completed,2024-09-23 08:06:52,UK
ORD00010,USR0074,0x8109ae0b7754ec4f261158cd94267c0573ad8982,DeFi Portfolio Tracker,subscription,46.25,0.0,46.25,BTC,arbitrum,0x5220a29889858c25683be9ed83d67bafc5bd257c33fc3f20abfac1087252ea25,,completed,2024-05-16 19:52:09,IN
ORD00011,USR0185,0x23c271874e7b41d24d469537b2325f8f7e00a220,Smart Contract Audit Tool,one_time,511.72,0.0,511.72,credit_card,,,,completed,2024-12-16 20:19:58,UK
ORD00012,USR0009,0xaa5be5b724ef2c343d844d62bb4cb40617435537,Wallet Intelligence Report,one_time,136.79,0.0,136.79,SOL,solana,0x7f5ec55c9da55b0865c7bebd5d7d37bce2eedbb6ea7028f2f107adcfc2a3ac33,6.5248,completed,2024-02-21 00:50:48,IN
ORD00013,USR0139,0xf8e48def63b1a45a75f68690acae503af7fe2b95,Token Launch Kit,one_time,953.55,0.0,953.55,credit_card,,,,completed,2024-12-20 18:18:56,JP
ORD00014,USR0076,0xe9ec297eef5400d6bbb3f98d953052c6d8135f7c,Token Launch Kit,one_time,1091.49,0.0,1091.49,SOL,polygon,0xf430cebf99765b75f2f65ab09ea4bbf811e951b472a7c0751870818dab0bef9b,11.0011,completed,2024-06-30 21:09:53,DE
ORD00015,USR0143,0x339b1c532ecab2f6de3b866c3446ced58dc7d604,Token Launch Kit,one_time,901.88,90.19,811.69,credit_card,,,,completed,2024-06-02 05:42:05,KR
ORD00016,USR0095,0xd56cf51b64d7fbf7e08277278d2ea61b00e77470,Crypto Tax Reporter,one_time,81.19,0.0,81.19,SOL,ethereum,0xc4ab78c6f1dc2bae278d7f73b6f93d8777256b68516b978859f657be9bef70b9,3.8904,completed,2024-11-15 09:29:05,SG
ORD00017,USR0144,0xd0f430693cb8e11ddff0e6e87f0927b2770ae240,Token Launch Kit,one_time,1028.5,154.28,874.22,SOL,binance_smart_chain,0xf4a3a20e99c9215a48965e288fd67c2d90c08062994bc4b0d589b33ab6ddfa15,4.8818,pending,2024-03-26 23:17:30,AE
ORD00018,USR0036,0xc1c6c73e77b64aa654284860efe4ff8482858956,NFT Marketplace Pro,subscription,108.82,0.0,108.82,ETH,ethereum,0x40308a499ae75e263e38c2b4edf66bc051f0f4e4f638ef908fe6b6bd2a801e57,13.3653,pending,2024-04-28 04:53:00,UK
ORD00019,USR0117,0x6e3586d9eaaf207f643d52f2ab4ff824cfdbc145,Token Launch Kit,one_time,1038.26,103.83,934.43,USDT,binance_smart_chain,0xe5b6163ff473997756b0b943412c951f2cd09fa3371b58f1ba64122ea45fb1ab,11.2629,completed,2024-10-15 14:34:04,CA
ORD00020,USR0107,0xead6d5483cbdd10f547ed3e528059f17add6c202,Blockchain Analytics Dashboard,subscription,195.34,0.0,195.34,SOL,ethereum,0xea749679ad8226b620de988c0490c4d583bf89204a701746a9ad924862a61831,5.8727,completed,2024-08-27 02:17:40,IN
